Title,Date,Fave Character,Feedback,Genre,Platform,Rating (1-10),Rewatch,Status,Text,Top Fave
Alice in Wonderland,,,,family,,,No,watched,,No
Do You Believe?,,,,drama,,,No,watched,,No
The Intern,,,,"comedy, drama, dramedy",,,No,watched,,No
Pitch Perfect,,,,"comedy, musical",,8.5,No,watched,,No
The Last Song,,,,"drama, romance",,9,Yes,watched,,No
The Call,,,,"crime, thriller",,9,No,watched,,No
LOL,,,,"drama, romance",,8,Yes,watched,,No
Ghost of Girlfriends Past,,,,"comedy, rom-com, romance",,,No,watched,,No
Stuck In Love,,,,"drama, romance",,8,Yes,watched,,No
Lucy,,,,"action, sci-fi, thriller",,9,No,watched,,No
Burlesque,,,,"drama, musical",,9,Yes,watched,,No
Easy A,,,,"comedy, rom-com, romance",,,No,watched,,No
Hunger Games Series,,,,"action, sci-fi",,,No,watched,,No
Serenity,,,,"drama, thriller",,,No,watched,,No
Joy,,,,"comedy, drama, dramedy",,,No,watched,,No
Terrifier,,,,horror,,,No,watched,,No
The Sixth Sense,,,,"horror, psychological, thriller",,,No,watched,,No
Ex-Machina,,,,"sci-fi, thriller",,,No,watched,,No
The Neon Demon,,,,"horror, psychological, thriller",,,No,watched,,No
When The Bough Breaks,,,,"drama, thriller",,,No,watched,,No
House At the End of the Street,,,,"horror, mystery, thriller",,,No,watched,,No
Oculus,,,,"horror, thriller",,,No,watched,,No
Acrimony,,,,"psychological, thriller",,,No,watched,,No
Fifty Shades Series,,,,"drama, romance",,,No,watched,,No
Black Panther,,,,"action, sci-fi",,,No,watched,,No
A Star Is Born,,,,"musical, romance",,,No,watched,,No
Aquaman,,,,"action, sci-fi",,,No,watched,,No
Suicide Squad,,,,"action, sci-fi",,,No,watched,,No
Alita,,,,"action, animation, sci-fi",,,No,watched,,No
Inside Out,,,,"animation, family",,,No,watched,,No
Orphan,,,,"horror, thriller",,,No,watched,,No
Tallulah,,,,drama,,,No,watched,,No
Gerald's Game,,,,"horror, thriller",,,No,watched,,No
It Series,,,,horror,,,No,watched,,No
Sinister Series,,,,horror,,,No,watched,,No
The Boy,,,,horror,,,No,watched,,No
The Purge Series,,,,"action, horror, sci-fi, thriller",,,No,watched,,No
Insidious Series,,,,horror,,,No,watched,,No
The Conjuring Series,,,,horror,,,No,watched,,No
What Happened to Monday,,,,"action, sci-fi, thriller",,,No,watched,,No
Us!,,,,"horror, thriller",,,No,watched,,No
Lights Out,,,,horror,,,No,watched,,No
Hush,,,,"horror, thriller",,,No,watched,,No
Thoroughbreds,,,,"comedy, thriller",,,No,watched,,No
Fatal Affair,,,,"psychological, thriller",,,No,watched,,No
Bird Box,,,,"sci-fi, thriller",,,No,watched,,No
Fractured,,,,"psychological, thriller",,,No,watched,,No
Ocean's 8,,,,"comedy, crime",,,No,watched,,No
The Invitation,,,,"horror, psychological, thriller",,,No,watched,,No
Hereditary,,,,horror,,,No,watched,,No
Midsommar,,,,"horror, psychological, thriller",,,No,watched,,No
Nerve,,,,"action, thriller",,,No,watched,,No
Glass,,,,"drama, sci-fi, thriller",,,No,watched,,No
I See You,,,,"horror, thriller",,,No,watched,,No
Gone Girl,,,,thriller,,10,No,watched,,No
Morgan,,,,"sci-fi, thriller",,,No,watched,,No
Now You See Me,,,,"crime, thriller",,,No,watched,,No
Mother!,,,,"psychological, thriller",,,No,watched,,No
La La Land,,,,"musical, romance",,,No,watched,,No
Split,,,,thriller,,,No,watched,,No
A Simple Favor,,,,"comedy, mystery",,,No,watched,,No
Get Out,,,,"psychological, thriller",,,No,watched,,No
The Girl on the Train,,,,thriller,,,No,watched,,No
The Invisible Man,,,,thriller,,,No,watched,,No
